Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
2005,AB,12,Deer,8.8382,8.8382,0.176764,0.001944404,0.004949392,5.44433E-05,
2005,AB,13,Elk,33.2872,33.2872,0.665744,0.007323184,0.018640832,0.000205049,
2005,AB,14,Wild boars,3.6998,3.6998,0.0055497,0.002084627,0.000155392,5.83696E-05,
2005,AB,15,Rabbit,0.745737667,0.745737667,0,5.9659E-05,0,1.67045E-06,
2005,AB,16,Mink,12.04265175,12.04265175,0,0.008189003,0,0.000229292,
2005,AB,17,Fox,0,0,0,0,0,0,
2005,BC,1,Dairy Cattle,77.75,77.75,10.45773532,3.170844778,0.292816589,0.088783654,
2005,BC,2,Non-Dairy Cattle,734.7503751,734.75,58.38756437,2.41735088,1.634851802,0.067685825,
2005,BC,3,Sheep and Lamb,69,69,0.552,0.018674443,0.015456,0.000522884,
2005,BC,4,Goat,14.2246,14.2246,0.071123,0.004493272,0.001991444,0.000125812,
2005,BC,5,Buffalo,11.9176,11.9176,0.655468,0.022057608,0.018353104,0.000617613,
2005,BC,6,Horse,53.27,53.27,0.95886,0.138742578,0.02684808,0.003884792,
2005,BC,7,Llama and alpaca,5.6856,5.6856,0.0454848,0.001847136,0.001273574,5.17198E-05,
2005,BC,8,Swine,143.5,143.5,0.21525,0.726314614,0.006027,0.020336809,
2005,BC,9,Poultry,19259.1376,19259.1376,0,0.607232832,0,0.017002519,
2005,BC,11,Mules and Asses,1.0362,1.0362,0.010362,0.000787512,0.000290136,2.20503E-05,
2005,BC,12,Deer,5.9678,5.9678,0.119356,0.001312916,0.003341968,3.67616E-05,
2005,BC,13,Elk,0.0682,0.0682,0.001364,0.000015004,0.000038192,4.20112E-07,
2005,BC,14,Wild boars,0.2114,0.2114,0.0003171,0.000119112,8.8788E-06,3.33513E-06,
2005,BC,15,Rabbit,1.357633652,1.357633652,0,0.000108611,0,3.0411E-06,
2005,BC,16,Mink,49.2,49.2,0,0.033456,0,0.000936768,
2005,BC,17,Fox,0.326128,0.326128,0,0.000221767,0,6.20948E-06,
2005,MB,1,Dairy Cattle,43.75,43.75,5.367729971,0.898341806,0.150296439,0.025153571,
2005,MB,2,Non-Dairy Cattle,1568.75,1568.75,117.5779498,3.620837739,3.292182595,0.101383457,
2005,MB,3,Sheep and Lamb,74,74,0.592,0.02039311,0.016576,0.000571007,
2005,MB,4,Goat,13.0546,13.0546,0.065273,0.004123692,0.001827644,0.000115463,
2005,MB,5,Buffalo,18.3746,18.3746,1.010603,0.034272134,0.028296884,0.00095962,
2005,MB,6,Horse,49.8222,49.8222,0.8967996,0.129762727,0.025110389,0.003633356,
2005,MB,7,Llama and alpaca,0.795,0.795,0.00636,0.000258279,0.00017808,7.23182E-06,
2005,MB,8,Swine,2925,2925,4.3875,10.79250397,0.12285,0.302190111,
2005,MB,9,Poultry,8596.8418,8596.8418,0,1.266712352,0,0.035467946,
2005,MB,11,Mules and Asses,0.6318,0.6318,0.006318,0.000480168,0.000176904,1.34447E-05,
2005,MB,12,Deer,0.7652,0.7652,0.015304,0.000168344,0.000428512,4.71363E-06,
